desc/placeName/__text,Anzahl,desc/location/geo/_lat,desc/location/geo/_long,desc/placeName/_ref
Steindorf,1,46.69833,14.00917,http://www.geonames.org/2764480/
Annenheim,1,46.65,13.9,http://www.geonames.org/2782485/
Ossiach,1,46.67435,13.98358,http://www.geonames.org/2769391/
Kindberg,1,47.5,15.45,http://www.geonames.org/2774437/
Frohnleiten,1,47.26667,15.31667,http://www.geonames.org/2779202/
Schladming,1,47.39289,13.68699,http://www.geonames.org/2765961/
Werfen,1,47.47585,13.1902,http://www.geonames.org/2761479/
Tegernsee,3,47.7123,11.7582,http://www.geonames.org/2823679/
Kreuth,2,47.64085,11.74485,http://www.geonames.org/2884280/
Egern,1,47.69376,11.75091,http://www.geonames.org/2933198/
Schliersee,1,47.73621,11.85936,http://www.geonames.org/2838502/
Basel,4,47.55839,7.57327,http://www.geonames.org/2661604/
Delémont,2,47.36493,7.34453,http://www.geonames.org/2661035/
Biel,1,47.13713,7.24608,http://www.geonames.org/2661513/
Neuchâtel,2,46.99179,6.931,http://www.geonames.org/2659496/
Yverdon,1,46.77852,6.64115,http://www.geonames.org/2657941/
Lausanne,3,46.516,6.63282,http://www.geonames.org/2659994/
Chillon,4,46.41417,6.92872,http://www.geonames.org/10388084/
Territet,7,46.42863,6.92122,http://www.geonames.org/2658399/
Rochers de Naye,1,46.4318,6.97602,http://www.geonames.org/2659002/
Vevey,1,46.46299,6.84345,http://www.geonames.org/2658145/
Genfer See,1,46.43774,6.46906,http://www.geonames.org/2660647/
Montreux,1,46.43301,6.91143,http://www.geonames.org/2659601/
Interlaken,7,46.68387,7.86638,http://www.geonames.org/2660253/
Mürren,3,46.5588,7.8929,http://www.geonames.org/2659530/
Wengen,1,46.60599,7.92013,http://www.geonames.org/2658020/
Scheidegg,1,46.58609,7.96126,http://www.geonames.org/7670232/
Grindelwald,2,46.62396,8.03601,http://www.geonames.org/2660498/
Brienz,2,46.7545,8.03847,http://www.geonames.org/2661398/
Meiringen,2,46.72709,8.1872,http://www.geonames.org/2659700/
Grimsel,1,46.56102,8.33695,
Gletsch,2,46.56226,8.36196,http://www.geonames.org/2660582/
Furka,1,46.57191,8.41642,http://www.geonames.org/2660697/
Göschenen,1,46.66816,8.58709,http://www.geonames.org/2660553/
Weggis,1,47.03208,8.43219,http://www.geonames.org/2658038/
Küssnacht,1,47.08557,8.44206,http://www.geonames.org/2660088/
Pilatus,1,46.9804,8.2572,
Parma,1,44.79935,10.32618,http://www.geonames.org/3171457/
Bologna,4,44.49381,11.33875,http://www.geonames.org/3181928/
Ferrara,1,44.83804,11.62057,http://www.geonames.org/3177090/
Padua,4,45.40797,11.88586,http://www.geonames.org/3171728/
Verona,5,45.4299,10.98444,http://www.geonames.org/3164527/
Sigmundsherberg,1,48.68333,15.75,http://www.geonames.org/2765065/
Rosenburg,1,48.62809,15.64058,http://www.geonames.org/2767197/
Edlach,11,47.69255,15.80915,http://www.geonames.org/2780428/
Belisce,2,45.6799,18.40073,http://www.geonames.org/11054391/
Orahovica,1,45.54,17.88472,http://www.geonames.org/3194064/
Faaker See,1,46.5775,13.92556,http://www.geonames.org/2779867/
Krumpendorf,2,46.63333,14.21667,http://www.geonames.org/2773321/
Tarvis,1,46.50567,13.58689,http://www.geonames.org/3165912/
Raiblsee,1,46.42028,13.565,
Niederdorf,4,46.73781,12.17266,http://www.geonames.org/3164301/
Prags,2,46.72023,12.13339,http://www.geonames.org/6534775/
Plätzwiesen,2,46.64949,12.18531,http://www.geonames.org/11838226/
Misurina,2,46.58108,12.25275,http://www.geonames.org/3173342/
Tre Croci,2,46.55672,12.20259,http://www.geonames.org/3165269/
Giau,1,46.48306,12.05417,http://www.geonames.org/3176133/
Caprile,2,46.43783,11.99438,http://www.geonames.org/3180613/
Fedaja,1,46.453595,11.888349,
Campitello,1,46.47632,11.74199,http://www.geonames.org/6542172/
Vigo,2,46.41898,11.67418,http://www.geonames.org/3164330/
Predazzo,1,46.311446.3114,11.599611.5996,http://www.geonames.org/3169877/http://www.geonames.org/3169877/
Paneveggio,2,46.3,11.73333,http://www.geonames.org/3171525/
Rollepass,1,46.29636,11.78852,http://www.geonames.org/3169074/
Martino,7,46.26667,11.8,http://www.geonames.org/3168019/
Fonzaso,1,46.0164,11.79897,http://www.geonames.org/3176778/
Tezze,1,45.69011,11.70672,http://www.geonames.org/3165699/
Trient,7,46.06787,11.12108,http://www.geonames.org/3165243/
Igls,1,47.23333,11.41667,http://www.geonames.org/2775338/
Biebrich,2,50.0415,8.24878,http://www.geonames.org/2949235/
Rüdesheim,2,49.98214,7.92964,http://www.geonames.org/2843395/
Triest,7,45.64953,13.77678,http://www.geonames.org/3165185/
Pola,3,44.86833,13.84806,http://www.geonames.org/3192224/
Zara,1,44.11972,15.24222,http://www.geonames.org/3186952/
Spalato,4,43.50891,16.43915,http://www.geonames.org/3190261/
Ragusa,8,42.64807,18.09216,http://www.geonames.org/3201047/
Cattaro,2,42.42067,18.76825,http://www.geonames.org/3197538/
Puchberg a/Sch.,1,47.78709,15.91352,http://www.geonames.org/2768279/
Waidhofen,2,47.96004,14.77361,http://www.geonames.org/2762077/
Gstatterboden,3,47.6,14.63333,http://www.geonames.org/2777331/
Selzthal,2,47.54988,14.31201,http://www.geonames.org/2765174/
Admont,5,47.57537,14.46075,http://www.geonames.org/2782979/
Johnsbach,1,47.53333,14.58333,http://www.geonames.org/2775043/
St. Michael,1,47.33839,15.01784,
Kainisch,1,47.5561,13.8405,http://www.geonames.org/7872447/
Obertraun,1,47.55782,13.68553,http://www.geonames.org/7873136/
Bischofshofen,3,47.41667,13.21667,http://www.geonames.org/2781735/
Kesselfall,3,47.205556,15.398889,
Moserboden,1,47.1625,12.7175,
Krimml,2,47.21799,12.17487,http://www.geonames.org/3323923/
Bludenz,1,47.15476,9.82255,http://www.geonames.org/2781680/
Schruns,2,47.07092,9.94746,http://www.geonames.org/7873725/
Gargellen,2,46.96743,9.91825,http://www.geonames.org/2778859/
Schlappiner Joch,1,46.92495,9.9079,
Klosters,1,46.88269,9.87609,http://www.geonames.org/2660130/
Chur,7,46.84986,9.53287,http://www.geonames.org/2661169/
Thusis,6,46.69724,9.43938,http://www.geonames.org/2658371/
Trafoi,2,46.5517,10.50988,http://www.geonames.org/3165338/
Runkelstein,1,46.51754,11.35888,
Breslau,8,51.1,17.03333,http://www.geonames.org/3081368/
Nizza,4,43.70313,7.26608,http://www.geonames.org/2990440/
Cannes,1,43.55135,7.01275,http://www.geonames.org/3028808/
Monte Carlo,4,43.73976,7.42732,http://www.geonames.org/2992741/
Genua,12,44.40478,8.94439,http://www.geonames.org/3176219/
Pisa,2,43.70853,10.4036,http://www.geonames.org/3170647/
Rom,4,41.89193,12.51133,http://www.geonames.org/3169070/
Florenz,5,43.77925,11.24626,http://www.geonames.org/3176959/
Landeck,3,47.12575,10.56679,http://www.geonames.org/2773069/
Langen am Arlberg,1,47.13333,10.11667,http://www.geonames.org/2773017
St. Anton,2,47.1275,10.26372,http://www.geonames.org/2766757/
Brenner,3,47.00528,11.50836,http://www.geonames.org/2781423/
Vahrn,3,46.73901,11.63749,http://www.geonames.org/3164691/
Brixen,1,46.71503,11.65598,http://www.geonames.org/3181550/
Waidbruck,4,46.59712,11.53088,http://www.geonames.org/3170259/
Dreikirchen,1,46.622653,11.512758,
Franzensfeste,1,46.78333,11.6,http://www.geonames.org/3176672/
Karersee,7,46.41147,11.58817,http://www.geonames.org/3180522/
Weißlahnbad,2,46.47655,11.55704,http://www.geonames.org/3182539/
Welsberg,11,46.75774,12.10556,http://www.geonames.org/3173140/
Mödling,1,48.08605,16.28921,http://www.geonames.org/2771335/
Schönberg,1,47.18333,11.41667,http://www.geonames.org/2765715/
Waldrast,1,47.13333,11.4,
Matrei am Brenner,1,47.12852,11.45222,http://www.geonames.org/7873609/
Sterzing,2,46.89313,11.42961,http://www.geonames.org/3164065/
Mühlbach,1,46.79658,11.66754,http://www.geonames.org/3169345/
Leoben,1,47.3765,15.09144,http://www.geonames.org/2772649/
Prebichl,1,47.53333,14.93333,http://www.geonames.org/2768445/
Hieflau,2,47.60639,14.74503,http://www.geonames.org/2776433/
Liezen,1,47.56667,14.23333,http://www.geonames.org/2772480/
Pyhrnpass,1,47.62381,14.30639,http://www.geonames.org/2768193/
Windischgarsten,3,47.72223,14.32755,http://www.geonames.org/2761096/
Kleinreifling,1,47.81667,14.63333,http://www.geonames.org/2774045/
Amstetten,1,48.1229,14.87206,http://www.geonames.org/2782555/
Agnetendorf,1,50.82264,15.61655,http://www.geonames.org/7534771/
Hallein,1,47.68333,13.1,http://www.geonames.org/2776951/
Murano,1,45.45857,12.35683,http://www.geonames.org/3172456/
Torcello,1,45.49648,12.41747,http://www.geonames.org/3165539/
Vicenza,2,45.54672,11.5475,http://www.geonames.org/3164419/
Varese,1,45.82058,8.82511,http://www.geonames.org/3164699/
Schneeberg,4,47.78333,15.78333,http://www.geonames.org/2765816/
Kaltern,1,46.41326,11.24616,http://www.geonames.org/3181215/
Mendel,6,46.41667,11.2,http://www.geonames.org/3173592/
Malè,2,46.35356,10.91246,http://www.geonames.org/3174186/
Campiglio,2,46.22671,10.82582,http://www.geonames.org/3174326/
Tione,1,46.0355,10.72679,http://www.geonames.org/3165649/
Val Ampola,1,45.870988,10.651957,
Pieve di Ledro,1,45.88848,10.73124,http://www.geonames.org/6535802/
Caldonazzo,2,45.99367,11.26426,http://www.geonames.org/3181207/
Lavarone,1,45.93632,11.27206,http://www.geonames.org/3175012/
Brünn,5,49.19522,16.60796,http://www.geonames.org/3078610/
