,dates
845,1881-04-25
846,1881-04-26
847,1881-04-27
848,1881-04-28
849,1881-04-29
850,1881-04-30
851,1881-05-01
852,1881-05-02
853,1881-05-03
854,1881-05-04
855,1881-05-05
856,1881-05-06
857,1881-05-07
858,1881-05-08
859,1881-05-09
860,1881-05-10
861,1881-05-11
862,1881-05-12
863,1881-05-13
864,1881-05-14
865,1881-05-15
866,1881-05-16
867,1881-05-17
868,1881-05-18
869,1881-05-19
870,1881-05-20
871,1881-05-21
872,1881-05-22
873,1881-05-23
874,1881-05-24
875,1881-05-25
876,1881-05-26
877,1881-05-27
878,1881-05-28
879,1881-05-29
880,1881-05-30
881,1881-05-31
882,1881-06-01
883,1881-06-02
884,1881-06-03
885,1881-06-04
886,1881-06-05
887,1881-06-06
888,1881-06-07
889,1881-06-08
890,1881-06-09
891,1881-06-10
892,1881-06-11
893,1881-06-12
894,1881-06-13
895,1881-06-14
896,1881-06-15
897,1881-06-16
898,1881-06-17
899,1881-06-18
900,1881-06-19
901,1881-06-20
902,1881-06-21
903,1881-06-22
904,1881-06-23
905,1881-06-24
906,1881-06-25
907,1881-06-26
908,1881-06-27
909,1881-06-28
910,1881-06-29
911,1881-06-30
912,1881-07-01
913,1881-07-02
914,1881-07-03
915,1881-07-04
916,1881-07-05
917,1881-07-06
918,1881-07-07
919,1881-07-08
920,1881-07-09
921,1881-07-10
922,1881-07-11
923,1881-07-12
924,1881-07-13
925,1881-07-14
926,1881-07-15
927,1881-07-16
928,1881-07-17
929,1881-07-18
930,1881-07-19
931,1881-07-20
932,1881-07-21
933,1881-07-22
934,1881-07-23
935,1881-07-24
936,1881-07-25
937,1881-07-26
938,1881-07-27
939,1881-07-28
940,1881-07-29
941,1881-07-30
942,1881-07-31
943,1881-08-01
944,1881-08-02
945,1881-08-03
946,1881-08-04
947,1881-08-05
948,1881-08-06
949,1881-08-07
950,1881-08-08
951,1881-08-09
952,1881-08-10
953,1881-08-11
954,1881-08-12
955,1881-08-13
956,1881-08-14
957,1881-08-15
