desc/placeName/__text,Anzahl,desc/location/geo/_lat,desc/location/geo/_long
Engadin,1,46.5,10
Almissa,1,43.44472,16.68861
Trau,1,43.5125,16.25167
Regensburg,2,49.01513,12.10161
Algier,1,36.7525,3.04197
Lissabon,3,38.71667,-9.13333
Southampton,1,50.90395,-1.40428
Antwerpen,1,51.21989,4.40346
Haarlem,1,52.38084,4.63683
Zandvoort,1,52.37125,4.53306
Utrecht,1,52.09083,5.12222
Lunz,1,47.8612,15.02998
Flims,1,46.83705,9.28458
Celerina,8,46.51217,9.85794
Woergl,1,47.48906,12.06174
Kueb,1,47.68076,15.88039
Altaussee,2,47.63844,13.76278
Bad Gastein,1,47.1154747.11547,13.1346713.13467
Elmau,1,47.45998,11.17985
Gosau,1,47.58417,13.53447
Abtenau,1,47.56373,13.34599
Kreuzberg,3,47.6666746.629442,15.8166714.291180
Oberau,1,47.6600447.55979,13.0744611.13919
Ettal,1,47.56667,11.1
Oberammergau,1,47.59812,11.06692
Zoegersdorf,1,48.368897,16.182478
Rotterdam,1,51.9225,4.47917
Zuidersee,1,52.82762,5.24814
Leiden,1,52.15833,4.49306
Nordwyk,1,52.26953,4.46354
Delft,1,52.00667,4.35556
Oosterbeek,1,51.98583,5.84583
Nymwegen,1,51.8425,5.85278
Possenhofen,1,47.95947,11.31038
St. Peter,1,41.9022147.79715447.55,12.4530513.04486616.01667
Feldafing,1,47.94602,11.29326
Hintersee,1,47.60661,12.85313
Aussig,2,51.40574,13.19159
Reichenberg,1,50.76711,15.05619
Goesing,2,47.88677,15.29108
Roskilde,1,55.64152,12.08035
Saltsjoebaden,1,59.28333,18.3
Drottningholm,1,59.32513,17.8878
Stuttgart,4,48.78232,9.17702
Ulm,1,48.39841,9.99155
Friedrichshafen,2,47.65689,9.47554
Romanshorn,1,47.56354,9.35639
Berguen,2,46.62934,9.74762
Tarasp,2,46.77696,10.25848
Arosa,1,46.77793,9.67621
Bregenz,2,47.50311,9.7471
Lochau,1,47.53333,9.75
Konstanz,1,47.66033,9.17582
Arlberg,1,47.13462,10.20544
Zuoz,1,46.60206,9.95965
Stresa,1,45.88158,8.53834
Freiburg,1,47.9959,7.85222
St. Gallen,1,47.42391,9.37477
Ritten,1,46.54152,11.45728
Molveno,1,46.14238,10.963
Groedner Thal,1,46.56667,11.66667
Fondo,1,46.4388,11.13723
Fondo Pirano,1,46.4388,11.13723
Tirano,1,46.21482,10.16335
Chiavenna,1,46.32063,9.39816
Forte dei Marmi,1,43.96388,10.17478
Patras,1,38.24444,21.73444
Cintra,1,38.80097,-9.37826
Las Palmas,1,28.09973,-15.41343
Adelboden,1,46.49142,7.56031
Montana Vermala,1,46.33548,7.51818
Brig,1,46.31667,7.98333
Zermatt,1,46.01998,7.74863
Gornergrat,1,45.98322,7.78484
Beatenberg,1,46.69896,7.79428
Kaltbad,1,47.04415,8.46523
Buergenstock,1,47.00037,8.39838
Klobenstein,1,46.53861,11.46552
Sulden,1,46.52715,10.58905
Gardone,1,45.62396,10.56682
