,desc/placeName/_ref,desc/placeName/__text,desc/location/geo/_lat,desc/location/geo/_long,note/_anchored,note/__text,_from,_to,_cert,_instant,geonames,pmb_id,geoname_id,download_link
42,http://www.geonames.org/2874225/,Mainz,49.98419,8.2791,,,1879-09-13,1879-09-13,,False,https://sws.geonames.org/2874225/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/44119/detail,2874225.0,https://iiif.onb.ac.at/images/AKON/AK078_035/035/full/full/0/native.jpg
43,http://www.geonames.org/2874225/,Mainz,49.98419,8.2791,,,1879-09-14,1879-09-14,,False,https://sws.geonames.org/2874225/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/44119/detail,2874225.0,https://iiif.onb.ac.at/images/AKON/AK078_035/035/full/full/0/native.jpg
44,http://www.geonames.org/2867714/,München,48.13743,11.57549,,,1879-09-14,1879-09-14,,False,https://sws.geonames.org/2867714/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/45258/detail,2867714.0,https://iiif.onb.ac.at/images/AKON/AK112_094/094/full/full/0/native.jpg
45,http://www.geonames.org/2761369/,Wien,48.20849,16.37208,,,1879-09-15,1879-09-15,,False,https://sws.geonames.org/2761369/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/50/detail,2761369.0,https://iiif.onb.ac.at/images/AKON/AK117_016/016/full/full/0/native.jpg
46,http://www.geonames.org/2761369/,Wien,48.20849,16.37208,,,1880-08-01,1880-08-01,,False,https://sws.geonames.org/2761369/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/50/detail,2761369.0,https://iiif.onb.ac.at/images/AKON/AK117_016/016/full/full/0/native.jpg
47,http://www.geonames.org/2774326/,Klagenfurt,46.62472,14.30528,,,1880-08-01,1880-08-01,,False,https://sws.geonames.org/2774326/,,2774326.0,https://iiif.onb.ac.at/images/AKON/AK111_147/147/full/full/0/native.jpg
48,http://www.geonames.org/2771920/,Loretto,46.61667,14.25,,,1880-08-01,1880-08-01,,False,https://sws.geonames.org/2771920/,,2771920.0,https://iiif.onb.ac.at/images/AKON/AK005_601/601/full/full/0/native.jpg
49,http://www.geonames.org/2762453/,Velden,46.61301,14.0413,,,1880-08-03,1880-08-03,,False,https://sws.geonames.org/2762453/,,2762453.0,https://iiif.onb.ac.at/images/AKON/AK111_468/468/full/full/0/native.jpg
50,http://www.geonames.org/2774326/,Klagenfurt,46.62472,14.30528,,,1880-08-03,1880-08-03,,False,https://sws.geonames.org/2774326/,,2774326.0,https://iiif.onb.ac.at/images/AKON/AK111_147/147/full/full/0/native.jpg
51,http://www.geonames.org/2774326/,Klagenfurt,46.62472,14.30528,,,1880-08-03,1880-08-03,,False,https://sws.geonames.org/2774326/,,2774326.0,https://iiif.onb.ac.at/images/AKON/AK111_147/147/full/full/0/native.jpg
52,http://www.geonames.org/3177571/,Toblach,46.72878,12.22225,,,1880-08-03,1880-08-03,,False,https://sws.geonames.org/3177571/,,3177571.0,https://iiif.onb.ac.at/images/AKON/AK120_140/140/full/full/0/native.jpg
53,http://www.geonames.org/3177571/,Toblach,46.72878,12.22225,,,1880-08-05,1880-08-05,,False,https://sws.geonames.org/3177571/,,3177571.0,https://iiif.onb.ac.at/images/AKON/AK120_140/140/full/full/0/native.jpg
54,http://www.geonames.org/3177952/,Cortina,46.5369,12.13903,,,1880-08-05,1880-08-05,,False,https://sws.geonames.org/3177952/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/34199/detail,3177952.0,https://iiif.onb.ac.at/images/AKON/AK116_482/482/full/full/0/native.jpg
55,http://www.geonames.org/3177571/,Toblach,46.72878,12.22225,,,1880-08-05,1880-08-05,,False,https://sws.geonames.org/3177571/,,3177571.0,https://iiif.onb.ac.at/images/AKON/AK120_140/140/full/full/0/native.jpg
56,http://www.geonames.org/3177571/,Toblach,46.72878,12.22225,,,1880-08-06,1880-08-06,,False,https://sws.geonames.org/3177571/,,3177571.0,https://iiif.onb.ac.at/images/AKON/AK120_140/140/full/full/0/native.jpg
57,http://www.geonames.org/2775220/,Innsbruck,47.26266,11.39454,,,1880-08-06,1880-08-06,,False,https://sws.geonames.org/2775220/,,2775220.0,https://iiif.onb.ac.at/images/AKON/AK116_105/105/full/full/0/native.jpg
58,http://www.geonames.org/2775220/,Innsbruck,47.26266,11.39454,,,1880-08-07,1880-08-07,,False,https://sws.geonames.org/2775220/,,2775220.0,https://iiif.onb.ac.at/images/AKON/AK116_105/105/full/full/0/native.jpg
59,http://www.geonames.org/2760634/,Zell am See,47.32556,12.79444,,,1880-08-07,1880-08-07,,False,https://sws.geonames.org/2760634/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/40336/detail,2760634.0,https://iiif.onb.ac.at/images/AKON/AK111_487/487/full/full/0/native.jpg
60,http://www.geonames.org/2760634/,Zell am See,47.32556,12.79444,,,1880-08-08,1880-08-08,,False,https://sws.geonames.org/2760634/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/40336/detail,2760634.0,https://iiif.onb.ac.at/images/AKON/AK111_487/487/full/full/0/native.jpg
61,http://www.geonames.org/2760634/,Zell am See,47.32556,12.79444,,,1880-08-09,1880-08-09,,False,https://sws.geonames.org/2760634/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/40336/detail,2760634.0,https://iiif.onb.ac.at/images/AKON/AK111_487/487/full/full/0/native.jpg
62,http://www.geonames.org/2766824/,Salzburg,47.79941,13.04399,,,1880-08-09,1880-08-09,,False,https://sws.geonames.org/2766824/,,2766824.0,https://iiif.onb.ac.at/images/AKON/AK067_206/206/full/full/0/native.jpg
63,http://www.geonames.org/2766824/,Salzburg,47.79941,13.04399,,,1880-08-10,1880-08-10,,False,https://sws.geonames.org/2766824/,,2766824.0,https://iiif.onb.ac.at/images/AKON/AK067_206/206/full/full/0/native.jpg
